,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Mkt-RF,SMB,HML,RF
196307,1.7088,-0.1652,0.461,-0.0034,-1.2185,-2.3585,0.1899,-0.9537,-1.9585,-1.2468,-2.3209,-1.8299,-0.7109,-2.0145,-1.7984,-0.9806,-1.4514,-1.9184,-1.5895,-1.8567,0.1547,0.4353,1.2557,-0.429,-1.1026,-0.39,-0.53,-0.89,0.27
196308,4.7861,1.5129,1.3307,2.2503,4.8024,5.1861,4.5191,4.5271,4.7649,7.8614,5.1524,5.3578,5.2725,4.9664,5.1541,5.4259,4.691,6.2332,7.7388,5.3469,5.7691,4.2211,4.7487,8.1419,6.3824,5.07,-0.89,1.68,0.25
196309,-2.9962,0.6402,-0.8841,-1.5254,-0.4453,-4.0186,-1.5034,-0.9515,-1.3504,-2.8348,-4.379,-2.1797,-0.3912,-0.4607,-1.8203,-2.7974,-2.1585,-1.78,-4.0665,-1.9943,-1.3595,-0.7485,-0.9852,-0.1905,-3.4963,-1.57,-0.35,0.08,0.27
196310,1.0074,-0.6004,1.1238,0.1927,2.4197,1.4128,4.2342,2.4178,2.0955,3.8633,2.4214,0.3931,2.3637,2.2442,1.068,-0.3902,0.6873,2.6229,4.7988,0.6113,5.3339,1.7428,-0.2829,2.415,0.4857,2.53,-0.56,-0.14,0.29
196311,-3.5978,-4.0645,-1.6048,-1.0272,-1.1198,-4.1169,-1.7534,-0.7796,-0.1543,-0.121,-3.001,-1.3828,-0.9224,-1.0383,-1.2116,-0.8798,-0.6788,-0.7933,1.6199,3.5388,-1.2556,0.9968,-1.5542,-2.1322,1.3455,-0.85,-1.17,1.81,0.27
196312,-1.4935,-1.2519,-1.0169,-1.7019,-1.0277,-1.5016,-0.7563,1.1679,0.9779,0.11,0.1409,1.7274,0.7397,1.5383,0.4665,-0.1205,1.2589,1.7043,3.2904,6.1498,2.6278,2.2942,2.2921,2.5149,2.1308,1.83,-2.11,-0.08,0.29
196401,2.8742,3.073,4.1335,4.0047,4.8046,-1.4391,-0.494,3.607,1.5232,4.1821,0.1961,0.6058,3.1247,4.2102,3.2152,-0.3177,1.8585,1.085,3.3433,3.3373,3.1011,3.1941,1.7441,2.0144,1.6235,2.24,-0.14,1.47,0.3
196402,3.0756,2.84,2.0138,0.3427,4.3451,1.4646,1.7276,2.8238,2.1654,6.0691,0.0077,2.8819,1.7106,3.5545,4.0122,2.4189,1.5149,2.8631,7.3895,4.6097,1.8294,0.5164,1.0418,3.983,3.751,1.54,0.13,2.74,0.26
196403,0.1695,1.3506,2.4219,3.6866,2.7987,2.7029,3.2056,3.296,5.8174,6.016,-0.7185,2.9239,4.0231,5.1675,6.7543,1.9869,2.8192,5.1951,7.3682,0.7218,1.1571,0.7444,3.6898,3.8351,0.1494,1.41,0.99,3.36,0.31
196404,-1.5087,2.7528,-0.5582,-0.7708,-0.9705,-0.9268,-3.8822,0.8474,-1.6533,-0.6311,-2.0269,-1.4332,-0.1099,-0.7041,-1.0221,-2.6991,0.4315,2.0285,-2.6826,-2.2799,0.2344,1.4802,0.8217,-0.9047,2.4177,0.1,-1.44,-0.58,0.29
196405,-1.219,-1.3471,0.4625,0.3923,1.4056,3.2963,0.4094,3.0764,1.8715,3.6743,-0.686,1.7126,-0.3649,1.9014,2.4988,1.0442,2.2072,1.4455,1.4342,4.101,2.0727,0.3177,1.2718,4.2802,3.3864,1.42,-0.86,1.82,0.26
196406,1.8231,0.5862,1.212,0.7494,0.9653,0.9376,1.6576,1.9147,1.0396,2.2557,0.8717,2.0281,2.9927,2.4201,1.2404,0.8951,1.6432,0.9628,2.5178,3.1078,0.9767,2.8878,0.2828,1.3636,2.4156,1.27,-0.1,0.63,0.3
196407,0.9031,3.8371,4.1997,2.8051,4.7478,0.7738,2.0803,3.9734,2.8736,2.2565,3.301,2.6285,3.0365,3.1894,1.7144,1.5587,3.2925,1.6074,1.4184,2.668,2.5593,0.6931,3.895,2.0491,0.7714,1.74,0.22,0.75,0.3
196408,1.2625,-1.933,-1.7463,-0.9713,-0.5247,-1.8465,-2.2057,-1.2316,0.4063,-1.8135,-2.4641,-0.4268,-0.1354,-0.1122,-1.9374,-1.0819,0.1208,1.1468,-0.2063,-0.7376,-1.2776,-1.5567,-0.0812,-0.978,-2.6711,-1.44,0.17,0.08,0.28
196409,4.8766,3.7192,6.2273,2.9617,3.9834,3.0778,2.6284,2.2333,2.1275,4.6564,1.8726,2.0931,3.7152,3.0757,3.6527,3.1274,3.3276,4.1527,4.7036,4.3553,3.0853,1.3451,4.2821,4.464,7.1664,2.69,-0.53,1.7,0.28
196410,2.2181,-0.2232,2.7473,1.8057,3.3256,-1.0755,1.2319,2.5994,1.2422,1.3903,3.3732,3.4972,2.0408,1.1553,2.7051,0.9314,1.297,1.2399,3.4232,3.8467,0.3214,1.0905,0.5691,0.3617,3.5875,0.59,0.44,1.17,0.29
196411,-0.1331,-0.4442,0.7239,0.6635,0.5739,-0.9739,0.1302,-0.1914,-0.6718,-1.7494,1.3494,0.6007,-0.2935,0.4066,-0.0521,0.658,1.645,-0.7608,-0.4524,-4.6769,1.0411,-0.3669,1.6408,-1.4254,-4.6686,0,0.69,-1.96,0.29
196412,-1.2846,-1.4727,-2.7168,-2.6678,-1.7979,1.4012,-0.1777,1.0398,-2.4638,-1.0537,0.1942,0.5867,-0.3931,-1.6833,-0.7222,1.2347,0.0063,-1.5082,-0.7779,-1.4422,0.798,1.4215,-0.9502,-1.1395,-1.2887,0.03,-0.36,-2.48,0.31
196501,8.7209,6.0372,6.7925,6.6946,8.8742,7.7312,5.2579,6.2719,5.7013,6.174,5.2844,6.2051,5.1707,6.0758,7.1104,6.5896,4.2828,5.0177,5.0046,6.6788,4.7197,1.2516,2.8219,3.5398,3.6175,3.54,2.7,0.12,0.28
196502,1.6011,0.873,2.7483,3.2282,3.7173,3.2196,4.1992,3.7315,3.4057,3.889,3.9288,4.4317,4.7694,3.2147,3.8834,1.507,3.4185,4.0719,3.927,1.0496,0.1871,-0.0379,-0.1269,-0.8201,-1.1448,0.44,3.53,0.11,0.3
